name,class,logP,logD,Vd_Lkg,PPB,MW,ILE_score,ILE_prob,ILE_kategori,AD,kalibrasyonda,ref_etiket,klinik_not
imipramine,Antidepresan,3.8750000000000027,2.5417047,3.857837,85.54268,280.415,64.9,90.5,Yüksek,ok,evet,responder,
ethylbenzene,Aromatik HC,2.2490000000000006,2.5378826,2.3504755,69.54809,106.16799999999996,72.0,90.5,Yüksek,ok,hayır,,
warfarin,Diğer,3.609600000000003,2.5287423,-0.6682292,94.26591,308.3330000000001,84.3,90.4,Yüksek,ok,evet,non-responder,Vit K/PCC
n-hexane,Alifatik HC,2.5866000000000007,2.5202236,7.2672906,66.77924,86.178,55.1,90.3,Yüksek,domain-kenarı (tahmin belirsiz),hayır,,
taxine B,Bitkisel alkaloid - kardiyotoksik,3.277400000000002,2.5246625,2.123394,78.61434,583.7220000000003,73.1,90.3,Yüksek,ok,hayır,,
buprenorphine,Analjezik/Opioid,4.413800000000004,2.5156198,8.670606,83.19839,467.6500000000003,52.4,90.2,Yüksek,ok,hayır,,Nalokson; ILE deneysel
clonazepam,Benzodiazepin/Sedatif,3.037700000000001,2.487349,0.2964601,94.222435,315.716,82.9,89.9,Yüksek,ok,hayır,,
levobupivacaine,Lokal anestezik,3.8965400000000026,2.4765341,2.406791,69.94672,288.43500000000006,70.0,89.7,Yüksek,ok,evet,responder,
doxepin,Antidepresan,3.9624000000000033,2.4680066,5.0000067,84.987595,279.383,59.3,89.6,Yüksek,ok,evet,responder,
lorazepam,Benzodiazepin/Sedatif,3.1013000000000015,2.4577565,5.289226,93.45528,321.163,58.2,89.5,Yüksek,ok,hayır,,
tretinoin (retinoik asit),Yağda çözünen vitamin,5.602600000000005,2.4479744,-3.2421906,100.0,300.44200000000006,81.6,89.4,Yüksek,ok,hayır,,
lewisite,KBRN-vezikan,2.2439,2.4413486,7.819832,60.880566,207.31900000000002,52.3,89.3,Yüksek,ok,hayır,,
styrene,Aromatik HC,2.3296,2.4306903,0.7942947,67.783066,104.15199999999997,81.0,89.1,Yüksek,ok,hayır,,
veratridine,Bitkisel alkaloid - kardiyotoksik,1.3560000000000005,2.4082847,6.012073,80.51565,673.8000000000003,55.3,88.8,Yüksek,domain-kenarı (tahmin belirsiz),hayır,,
bupivacaine,Lokal anestezik,3.8965400000000026,2.400011,2.061818,68.460556,288.43500000000006,69.9,88.7,Yüksek,ok,evet,responder,
risperidone,Antipsikotik,3.5904200000000026,2.3905168,7.269712,78.76888,410.4930000000003,52.2,88.6,Yüksek,ok,hayır,,
digoxin,Kardiyak,2.218100000000003,2.3702369,5.520098,85.56338,780.9490000000002,55.6,88.3,Yüksek,domain-kenarı (tahmin belirsiz),evet,non-responder,Digoksin-Fab birincil
quetiapine,Antipsikotik,2.8560000000000016,2.3272328,9.984543,83.20862,383.51700000000017,46.6,87.7,Yüksek,ok,evet,responder,
carbon tetrachloride,Halojenli HC,2.5529,2.2956944,15.372419,62.042015,153.823,45.9,87.2,Yüksek,ok,hayır,,
amoxapine,Antidepresan,3.4292000000000025,2.264214,12.138316,90.1465,313.788,45.3,86.7,Yüksek,ok,evet,responder,
nebivolol,Kardiyak,2.363600000000001,2.2512014,9.052191,87.04861,405.44100000000014,46.3,86.5,Yüksek,ok,evet,responder,
toluene,Aromatik HC,1.99502,2.230044,1.7008206,62.210682,92.14099999999999,67.5,86.1,Yüksek,domain-kenarı (tahmin belirsiz),hayır,,
methadone,Analjezik/Opioid,4.292000000000004,2.2268262,2.7828498,68.94005,309.45300000000003,61.0,86.1,Yüksek,ok,hayır,,Nalokson; ILE deneysel
malathion,Organofosfat,2.1218000000000004,2.209408,0.38049045,76.357864,330.3640000000001,73.6,85.8,Yüksek,ok,hayır,,Atropin+pralidoksim
ondansetron,Diğer,3.1285200000000017,2.2038782,3.2718863,75.45841,293.37000000000006,58.3,85.7,Yüksek,ok,hayır,,
nortriptyline,Antidepresan,3.826400000000003,2.1963913,3.8733552,86.71614,263.38399999999996,56.0,85.5,Yüksek,ok,evet,responder,
phenytoin,Antikonvülzan,1.7696,2.189846,-4.7815685,87.55361,252.27300000000002,73.0,85.4,Yüksek,ok,hayır,,
trichloroethylene,Halojenli HC,2.5017000000000005,2.175,8.775293,52.358135,131.389,45.1,85.2,Yüksek,ok,hayır,,
sulfur mustard,KBRN-vezikan,2.1972000000000005,2.1714222,6.393859,52.25899,159.08100000000002,49.1,85.1,Yüksek,ok,hayır,,
amlodipine,Kardiyak,2.266300000000001,2.1452327,6.740443,91.35698,408.88200000000006,47.8,84.6,Yüksek,ok,evet,responder,
quinidine,Kardiyak,3.1732000000000014,2.125985,2.0847666,74.643845,324.4240000000001,61.8,84.3,Yüksek,ok,evet,responder,
dibucaine,Lokal anestezik,3.4853000000000023,2.125883,16.04864,69.17773,343.471,42.5,84.3,Yüksek,ok,evet,responder,
ropivacaine,Lokal anestezik,3.5064400000000013,2.1210563,1.5853503,63.083588,274.408,65.0,84.2,Yüksek,ok,evet,responder,
mirtazapine,Antidepresan,2.4789000000000003,2.1130264,0.86778563,63.794518,265.36,70.4,84.0,Yüksek,ok,hayır,,
alprazolam,Benzodiazepin/Sedatif,3.5801200000000017,2.0255334,1.4847448,85.69192,308.77200000000005,62.9,82.4,Yüksek,ok,hayır,,
repaglinide,Antidiabetik,5.219900000000005,2.0256875,-1.9935467,99.75929,452.5950000000003,67.5,82.4,Yüksek,ok,hayır,,
quinine,Antimalaryal,3.1732000000000014,2.0174048,2.7804947,71.022446,324.4240000000001,55.3,82.2,Yüksek,ok,evet,responder,
fluoxetine,Antidepresan,4.435000000000003,1.998822,9.012733,84.90421,309.33099999999996,41.2,81.8,Yüksek,ok,hayır,,
duloxetine,Antidepresan,4.630900000000003,1.9713501,5.5076,89.084305,297.423,46.2,81.2,Yüksek,ok,hayır,,
tetracaine,Lokal anestezik,2.617000000000001,1.9665282,9.725319,70.14428,264.3689999999999,39.6,81.1,Yüksek,ok,evet,responder,
paliperidone,Antipsikotik,3.081320000000002,1.9377073,8.203068,70.31611,426.49200000000025,41.0,80.5,Yüksek,ok,hayır,,
"1,1,1-trichloroethane",Halojenli HC,2.376500000000001,1.9231224,10.489914,52.07783,133.405,38.5,80.2,Yüksek,ok,hayır,,
yohimbine,Bitkisel alkaloid - diğer,2.6471000000000013,1.9176731,4.472948,76.72026,354.4500000000001,47.3,80.1,Yüksek,ok,hayır,,
desipramine,Antidepresan,3.5328000000000026,1.9062309,2.9482982,83.54958,266.388,51.6,79.8,Yüksek,ok,evet,responder,
maprotiline,Antidepresan,4.211400000000004,1.8895872,8.67023,80.54154,277.41100000000006,39.4,79.4,Yüksek,ok,evet,responder,
carisoprodol,Kas gevşetici,2.0227,1.8855379,2.0274677,57.310326,260.334,55.1,79.3,Yüksek,ok,hayır,,
dimenhydrinate,Antihistaminik/Antikolinerjik,2.967900000000001,1.8854948,7.8297744,82.14276,469.97300000000024,40.4,79.3,Yüksek,ok,hayır,,
benzene,Aromatik HC,1.6866,1.8650427,0.66756904,53.09388,78.11399999999999,62.2,78.9,Yüksek,domain-kenarı (tahmin belirsiz),hayır,,
chloroquine,Antimalaryal,4.810600000000004,1.8595272,49.12345,66.40279,319.88000000000005,37.2,78.7,Yüksek,ok,evet,responder,
chlorpheniramine,Antihistaminik/Antikolinerjik,3.8186000000000027,1.8502061,11.527807,65.55715,274.795,37.0,78.5,Yüksek,ok,hayır,,
chloroform,Halojenli HC,1.9864,1.8030596,9.22659,48.406303,119.37800000000001,36.9,77.4,Yüksek,ok,hayır,,
carbamazepine,Antikonvülzan,3.3872000000000018,1.7932427,-4.532392,74.464775,236.274,59.8,77.2,Yüksek,ok,hayır,,
propafenone,Kardiyak,3.2414000000000023,1.7664664,1.5307808,87.66903,341.4510000000001,54.5,76.5,Yüksek,ok,evet,responder,
gelsemine,Bitkisel alkaloid - nörotoksik/diğer,2.0275999999999996,1.7501214,0.6103616,62.946785,322.408,58.3,76.1,Yüksek,ok,hayır,,
benzocaine,Lokal anestezik,1.4455,1.727486,0.30338445,61.781727,165.19199999999998,57.6,75.5,Yüksek,ok,hayır,,
soman,KBRN-sinir ajanı,3.230000000000002,1.7218649,0.335229,35.859856,182.17499999999998,57.4,75.4,Yüksek,ok,hayır,,Atropin+oksim+benzo; ILE standart değil
cyclosarin,KBRN-sinir ajanı,3.1281000000000017,1.7203729,-0.8171546,38.58056,180.15899999999993,57.3,75.3,Yüksek,ok,hayır,,Atropin+oksim+benzo; ILE standart değil
diphenhydramine,Antihistaminik/Antikolinerjik,3.3542000000000023,1.7072468,3.1177278,64.206154,255.36100000000002,45.7,75.0,Yüksek,ok,evet,responder,
paroxetine,Antidepresan,3.326500000000002,1.6884524,5.845475,86.261246,329.3710000000001,39.0,74.5,Yüksek,ok,hayır,,
hydroxychloroquine,Antimalaryal,3.783000000000002,1.6863003,49.333935,64.75633,335.8790000000001,33.7,74.4,Yüksek,ok,evet,responder,
