name,logP,logD,Vd,PPB,MW,theory_score,ile_prob,category,ad_flag,rank
Ketazolam,3.28,2.673,-0.047,93.501,368.8,89.1,92.0,High,ok,736
Misoprostol,3.954,2.671,2.864,74.034,382.5,72.8,92.0,High,ok,737
Clocortolone,2.998,2.675,1.179,85.486,410.9,86.6,92.0,High,ok,738
Oleic Acid,6.109,2.67,1.266,101.817,282.5,85.4,92.0,High,ok,739
Perflutren,2.746,2.671,8.746,71.169,188.0,55.5,92.0,High,ok,740
Piperacetazine,4.976,2.676,10.296,92.081,410.6,53.5,92.0,High,ok,741
Zolpidem,3.249,2.662,1.001,85.916,307.4,88.7,91.9,High,ok,742
Levacetylmethadol,4.655,2.669,2.144,84.796,353.5,77.2,91.9,High,ok,743
Lomustine,2.251,2.66,-0.941,70.261,233.7,88.7,91.9,High,ok,744
Stiripentol,2.836,2.665,2.151,83.214,234.3,77.0,91.9,High,ok,745
Pramocaine,2.967,2.669,9.362,82.528,293.4,54.4,91.9,High,ok,746
Encorafenib,3.908,2.669,7.175,91.788,540.0,58.5,91.9,High,ok,747
Dimetotiazine,3.49,2.663,3.625,89.319,391.6,68.9,91.9,High,ok,748
Indinavir,2.867,2.668,2.756,81.809,613.8,73.3,91.9,High,domain-edge (prediction unreliable),749
Oritavancin,4.495,2.66,3.101,115.512,1793.1,71.2,91.9,High,domain-edge (prediction unreliable),750
Anileridine,3.408,2.657,3.549,83.14,352.5,69.1,91.8,High,ok,751
Promazine,4.241,2.645,6.377,87.15,284.4,59.8,91.7,High,ok,752
Budesonide,2.717,2.642,2.631,87.398,430.5,73.3,91.7,High,ok,753
Mebeverine,4.603,2.649,8.955,85.179,429.6,54.7,91.7,High,ok,754
Domatinostat,3.36,2.639,-2.204,96.114,447.5,88.0,91.6,High,ok,755
Capmatinib,3.429,2.635,-2.764,95.069,412.4,87.8,91.6,High,ok,756
Lisuride,2.841,2.637,8.219,73.617,338.5,55.7,91.6,High,ok,757
Loteprednol,2.736,2.639,1.28,80.439,394.9,84.2,91.6,High,ok,758
Bicalutamide,2.88,2.641,0.569,93.642,430.4,88.0,91.6,High,ok,759
Dexamethasone acetate,2.467,2.623,-0.63,87.074,434.5,87.4,91.5,High,ok,760
Benzethonium,6.072,2.627,13.708,82.527,412.6,52.5,91.5,High,ok,761
Dihydroergocornine,2.13,2.625,6.388,82.925,563.7,59.3,91.5,High,ok,762
Pantoprazole,2.884,2.628,-0.583,93.492,383.4,87.6,91.5,High,ok,763
Nifedipine,2.176,2.622,-0.895,95.879,346.3,87.4,91.4,High,ok,764
Isotretinoin,5.603,2.615,-2.147,100.439,300.4,87.2,91.4,High,ok,765
Crisaborole,1.568,2.619,-1.773,94.146,251.0,87.3,91.4,High,ok,766
Paramethasone acetate,2.322,2.61,-0.806,87.176,434.5,87.0,91.3,High,ok,767
